species,growth_form,plant_height_m,seed_length_mm
Chaetostoma_hexapetalum,shrub,0.65,0.98
Ossaea_coriacea,shrub,1.5,1.1
Ossaea_cinnamomifolia,shrub,0.6,0.95
Ossaea_congestiflora,shrub,0.65,1.1
Ossaea_fragilis,shrub,1.25,0.9
Ossaea_marginata,shrub,2.4,1.4
Ossaea_leptopus,shrub,0.9,0.2
Ossaea_meridionalis,shrub,1.5,1.2
Ossaea_confertiflora,shrub,2,0.95
Ossaea_sanguinea,shrub,1.5,0.8
Ossaea_sulbahiensis,shrub,1,1.4
Tibouchina_almedae,shrub,0.75,0.5
Tibouchina_congestiflora,shrub,0.75,0.6
Tibouchina_hintonii,shrub,1.65,0.3
Tibouchina_macvaughii,shrub,0.9,0.3
Tibouchina_patens,shrub,2.5,0.45
Tibouchina_sinaloensis,shrub,0.65,0.3
Meriania_horrida,shrub,3,3
Miconia_machinazana,shrub,0.85,0.99
Miconia_amplinodis,shrub,1.25,1.3
Microlicia_flavovirens,shrub,0.8,0.45
Acanthella_pulchra,shrub,3,6
Acanthella_sprucei,shrub,2.75,4.5
Bellucia_grossularioides,tree,10,0.7
Clidemia_piperifolia,shrub,4,0.6
Mouriri_acutiflora,tree,17,11.75
Mouriri_angulicosta,tree,30,7.05
Mouriri_barinensis,tree,35,15.15
Mouriri_collocarpa,tree,30,17.95
Mouriri_ficoides,tree,35,10.5
Mouriri_guianensis,tree,10,8
Mouriri_huberi,tree,30,16
Mouriri_longifolia,tree,10,12.75
Mouriri_pseudogeminata,tree,20,17.3
Mouriri_sagotiana,tree,15,11.5
Mouriri_sideroxylon,tree,28,10.5
Mouriri_subumbellata,tree,25,6.4
Mouriri_vernicosa,tree,25,12
Mouriri_acutiflora,tree,17,11.75
Mouriri_angulicosta,tree,30,6.9
Mouriri_collocarpa,tree,30,17.95
Mouriri_crassifolia,tree,29,8.25
Mouriri_subumbellata,tree,25,6.4
Mouriri_viridicosta,shrub,6,5
Miconia_vallartensis,shrub,0.8,0.45
